Unnamed: 0,Name,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Current_Age
47,Toyota Innova Crysta 2.7 GX MT,2012,70704,11.25,2694.0,163.7,7.0,18.64,10.95,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11
48,Hyundai Xcent 1.1 CRDi S,2014,75000,24.4,1120.0,71.0,5.0,11.48,3.85,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9
49,Mahindra Thar CRDe AC,2012,75800,16.55,2498.0,105.0,6.0,11.48,5.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,11
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,13648,17.11,1968.0,174.33,5.0,11.48,21.43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
51,Maruti Swift LDI,2014,52000,22.9,1248.0,74.0,5.0,11.48,4.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9
52,Maruti Swift Ldi BSIV,2014,53000,17.8,1248.0,75.0,5.0,11.48,3.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9
53,Maruti Swift VDI,2013,65650,28.4,1248.0,74.0,5.0,11.48,3.85,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10
54,Hyundai Grand i10 Sportz,2015,54000,18.9,1197.0,82.0,5.0,11.48,3.6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,8
55,Volkswagen Vento 2013-2015 1.6 Comfortline,2015,39000,15.04,1598.0,103.2,5.0,11.48,3.99,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8
56,Renault KWID RXT,2017,16542,25.17,799.0,53.3,5.0,11.48,3.3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
57,Hyundai i10 Asta,2010,32000,20.36,1197.0,78.9,5.0,11.48,2.07,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13
58,Nissan X-Trail SLX AT,2010,121812,9.49,1995.0,147.6,5.0,11.48,7.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13
59,Maruti Zen Estilo VXI BSIII,2010,39300,18.2,998.0,67.1,5.0,11.48,2.25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13
60,Toyota Innova Crysta 2.4 GX MT 8S,2017,22000,13.68,2393.0,147.8,8.0,19.34,16.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6
61,Ford Figo Diesel Titanium,2010,72000,20.0,1399.0,68.0,5.0,11.48,2.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,58000,11.74,1796.0,186.0,5.0,11.48,26.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
63,Mercedes-Benz New C-Class 200 CDI Classic,2011,65000,15.8,2148.0,170.0,5.0,11.48,10.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,12
64,Tata Indica V2 eLS,2016,178000,25.0,1396.0,69.0,5.0,11.48,2.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
65,Audi A4 2.0 TDI Multitronic,2012,65664,16.55,1968.0,140.0,5.0,11.48,13.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11
66,Honda City ZX CVT,2007,63000,16.4,1497.0,78.0,5.0,11.48,1.85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16
67,Mercedes-Benz C-Class Progressive C 220d,2019,15369,0.0,1950.0,194.0,5.0,49.14,35.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
68,Maruti Ertiga SHVS VDI,2016,63000,24.52,1248.0,88.5,7.0,11.48,8.15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7
69,Hyundai Creta 1.4 E Plus Diesel,2018,13000,22.1,1396.0,88.7,5.0,11.81,10.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
70,Porsche Cayenne 2009-2014 Turbo,2008,73000,8.5,4806.0,500.0,5.0,11.48,14.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15
71,Mahindra XUV500 W8 4WD,2015,55729,15.1,2179.0,140.0,7.0,11.48,9.65,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8
72,Hyundai i10 Sportz 1.2 AT,2012,45178,16.95,1197.0,78.9,5.0,11.48,3.48,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
73,Nissan Terrano XV D Pre,2015,56066,19.64,1461.0,108.5,5.0,16.65,6.92,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8
74,Honda Brio VX AT,2016,37300,16.5,1198.0,86.8,5.0,11.48,6.46,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7
75,Audi A6 2.0 TDI Design Edition,2014,56000,18.53,1968.0,187.74,5.0,11.48,29.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9
77,Toyota Innova 2.0 G1,2006,230000,12.4,1998.0,132.0,8.0,11.48,4.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,17
78,Toyota Innova 2.5 VX 7 STR BSIV,2012,104000,12.8,2494.0,102.0,7.0,11.48,11.75,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11
80,Maruti Swift VDI,2012,95100,22.9,1248.0,74.0,5.0,11.48,3.75,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11
81,Tata Zest Revotron 1.2T XE,2017,70000,17.57,1193.0,88.7,5.0,6.67,4.5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6
82,Honda Amaze SX i-VTEC,2016,54944,18.0,1198.0,86.7,5.0,11.48,4.82,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
83,Ford Figo Diesel ZXI,2012,70337,20.0,1399.0,68.0,5.0,11.48,2.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11
84,Maruti Ritz VDi,2013,99638,23.2,1248.0,73.94,5.0,11.48,3.11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10
85,Honda City i VTEC E,2009,52000,17.8,1497.0,117.3,5.0,11.48,3.25,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14
86,BMW 5 Series 2003-2012 525d,2011,75000,16.73,1995.0,218.0,5.0,11.48,13.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12
87,Hyundai i10 Sportz 1.2,2009,95980,20.36,1197.0,78.9,5.0,11.48,2.25,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14
88,Hyundai Grand i10 Sportz,2016,16000,18.9,1197.0,82.0,5.0,11.48,5.75,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7
90,Honda Amaze SX i-VTEC,2016,18949,17.8,1198.0,86.7,5.0,11.48,5.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7
91,Toyota Fortuner 4x2 Manual,2014,107000,13.0,2982.0,168.5,7.0,11.48,16.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9
92,Audi A6 2011-2015 35 TDI Premium,2018,48367,17.68,1968.0,174.33,5.0,11.48,39.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,57000,22.7,1498.0,89.84,5.0,11.48,5.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10
94,Mahindra XUV500 W8 2WD,2014,58000,15.1,2179.0,140.0,7.0,11.48,8.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9
95,Honda Amaze SX i-DTEC,2015,30000,25.8,1498.0,98.6,5.0,11.48,3.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8
96,Volkswagen Polo Diesel Highline 1.2L,2013,34212,22.07,1199.0,73.9,5.0,11.48,2.79,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10
97,Hyundai Verna Transform SX VGT CRDi,2010,70002,16.2,1493.0,110.0,5.0,11.48,3.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
98,Maruti Wagon R VXI BS IV,2016,62000,18.9,998.0,67.1,5.0,11.48,4.45,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7
99,Volkswagen Polo Petrol Highline 1.6L,2010,62001,15.26,1598.0,103.5,5.0,11.48,2.65,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13
100,Hyundai i20 1.4 CRDi Sportz,2011,78958,23.0,1396.0,90.0,5.0,11.48,3.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,12
101,Hyundai i20 Asta 1.2,2014,30180,18.5,1197.0,82.85,5.0,11.48,4.65,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9
102,Datsun GO Plus T Petrol,2017,32851,19.83,1198.0,67.0,7.0,6.45,3.95,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6
103,Audi A4 3.0 TDI Quattro Premium,2010,30000,14.94,2967.0,241.4,5.0,11.48,9.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
104,Hyundai i20 2015-2017 Asta,2009,66000,17.0,1197.0,80.0,5.0,11.48,2.7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,14
105,Maruti Omni 5 Str STD,2010,93850,14.0,796.0,35.0,5.0,11.48,2.41,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13
106,Toyota Etios Liva 1.2 G,2014,53000,17.71,1197.0,78.9,5.0,6.41,3.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
107,Jaguar XF 3.0 Litre S Premium Luxury,2011,78000,14.74,2993.0,270.9,5.0,11.48,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12
108,Mahindra XUV500 W8 2WD,2012,65000,16.0,2179.0,140.0,7.0,11.48,5.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,11
109,Hyundai Verna 1.6 SX CRDI (O) AT,2014,40000,22.32,1582.0,126.32,5.0,11.48,5.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
110,Toyota Innova Crysta 2.8 ZX AT,2017,30000,11.36,2755.0,171.5,7.0,27.0,19.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
111,Maruti Eeco 5 Seater AC,2017,38053,15.1,1196.0,73.0,5.0,5.13,3.91,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6
112,Tata Nano Twist XT,2014,25500,25.4,624.0,37.5,4.0,11.48,2.15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9
113,BMW 3 Series 320d Luxury Line,2015,56087,22.69,1995.0,190.0,5.0,54.43,20.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
114,Honda Civic 2006-2010 1.8 V MT,2010,71088,13.5,1799.0,130.0,5.0,11.48,3.35,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,55000,12.99,2494.0,100.6,7.0,11.48,11.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
116,Volvo V40 Cross Country D3,2014,32700,23.3,1984.0,150.0,5.0,11.48,20.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
117,Nissan Micra XV CVT,2016,39882,19.15,1198.0,75.94,5.0,9.51,6.55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
118,BMW 5 Series 2010-2013 525i,2009,128000,10.8,2497.0,215.0,5.0,11.48,7.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
119,Maruti Vitara Brezza VDi,2016,55000,24.3,1248.0,88.5,5.0,9.96,7.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7
121,Mercedes-Benz B Class B200 CDI,2014,53753,15.0,2143.0,107.3,5.0,11.48,16.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9
122,Hyundai Verna CRDi 1.6 SX Option,2018,10250,22.0,1582.0,126.2,5.0,14.44,10.95,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5
123,Maruti Wagon R LXI BS IV,2011,43874,18.9,998.0,67.1,5.0,11.48,2.45,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12
124,Tata Nano XTA,2017,32684,21.9,624.0,37.48,4.0,11.48,3.23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
125,Mahindra Scorpio VLX,2014,42000,12.05,2179.0,120.0,8.0,11.48,7.75,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9
126,Mercedes-Benz New C-Class 200 K AT,2009,28352,11.7,1796.0,178.0,5.0,11.48,9.35,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
128,Honda CR-V 2.4 MT,2007,47700,10.8,2354.0,152.0,5.0,11.48,5.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,16
129,Volkswagen Vento 1.5 TDI Comfortline AT,2015,55000,21.21,1498.0,103.2,5.0,11.48,7.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
130,Maruti Ciaz VXi Plus,2017,44285,20.73,1373.0,91.1,5.0,11.48,7.47,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
131,Mahindra XUV500 AT W10 FWD,2016,54000,16.0,2179.0,140.0,7.0,11.48,13.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
132,Maruti Ritz VXI ABS,2016,30232,21.1,1197.0,85.8,5.0,11.48,5.81,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7
133,Maruti Alto K10 VXI,2014,88500,24.07,998.0,67.1,5.0,4.53,2.6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9
134,Mercedes-Benz SLC 43 AMG,2017,13372,19.0,2996.0,362.07,2.0,95.04,54.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
135,Hyundai Verna VTVT 1.6 AT SX Plus,2019,12645,17.0,1591.0,121.3,5.0,13.49,11.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
136,Maruti Alto LXi BSIII,2010,94385,19.7,796.0,46.3,5.0,11.48,1.6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,13
137,BMW 1 Series 118d Base,2015,31821,20.58,1995.0,143.0,5.0,11.48,17.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
138,Honda Jazz 1.2 V CVT i VTEC,2015,12000,19.0,1199.0,88.7,5.0,11.48,6.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
139,Honda Civic 2006-2010 1.8 V MT,2012,88578,13.5,1799.0,130.0,5.0,11.48,3.95,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,44965,19.27,2143.0,170.0,5.0,11.48,17.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
141,Honda Amaze SX i-DTEC,2014,45044,25.8,1498.0,98.6,5.0,11.48,3.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9
142,Maruti Swift VVT VXI,2016,34204,22.0,1197.0,81.8,5.0,11.48,5.43,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
144,Toyota Fortuner 3.0 Diesel,2012,91235,11.5,2982.0,171.0,7.0,11.48,13.49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11
145,Chevrolet Beat LT Option,2014,38800,18.6,1199.0,76.8,5.0,11.48,2.85,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9
146,Skoda Rapid 1.5 TDI Elegance,2013,83000,21.14,1498.0,103.52,5.0,11.48,4.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10
147,Maruti Ciaz 1.4 Alpha,2018,41283,20.73,1373.0,91.1,5.0,11.48,9.9,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
148,Audi RS5 Coupe,2013,23000,11.05,2894.0,444.0,4.0,1.28,37.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
149,BMW 3 Series Luxury Line,2014,48000,21.76,1995.0,190.0,5.0,60.88,26.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,48214,17.11,1968.0,174.33,5.0,11.48,23.32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
151,Maruti Swift VDI,2016,35000,22.9,1248.0,74.0,5.0,11.48,6.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
152,Mercedes-Benz S Class 2005 2013 S 500,2010,35277,7.81,5461.0,362.9,5.0,11.48,30.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,54620,21.66,1498.0,103.52,5.0,11.48,9.86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
154,Skoda Superb Elegance 2.0 TDI CR AT,2012,136997,17.2,1968.0,138.1,5.0,11.48,8.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
155,Hyundai EON Magna Plus,2019,14322,21.1,814.0,55.2,5.0,11.48,4.23,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
156,Volkswagen Polo Diesel Trendline 1.2L,2012,65634,22.07,1199.0,73.9,5.0,11.48,3.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11
157,Datsun GO NXT,2016,6000,20.63,1198.0,67.06,5.0,11.48,2.5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7
158,Honda Brio S MT,2013,33280,19.4,1198.0,86.8,5.0,11.48,2.39,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10
159,Mercedes-Benz B Class B180,2013,29000,14.8,1595.0,120.7,5.0,11.48,11.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
160,Honda City i DTEC V,2015,42831,26.0,1498.0,98.6,5.0,11.48,7.11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8
161,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,90000,12.99,2494.0,100.6,7.0,11.48,10.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
162,Maruti Swift VXI Optional,2017,24005,20.4,1197.0,81.8,5.0,11.48,6.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
163,Mahindra XUV500 W8 2WD,2012,32792,15.1,2179.0,140.0,7.0,11.48,7.9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11
164,Ford Ecosport 1.5 DV5 MT Ambiente,2014,147898,22.7,1498.0,89.84,5.0,11.48,4.42,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9
165,Toyota Fortuner 4x2 Manual,2012,131765,13.0,2982.0,168.5,7.0,11.48,13.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,65000,21.5,1498.0,108.5,5.0,11.48,6.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
